Component,Quantity,Unit Price (EUR),Total Price (EUR),Supplier,Interface,Notes
ESP32 DevKit (USB-C),1 pack of 3,19.99,19.99,Amazon (ELEGOO 3-pack), - ,Microcontroller + WiFi (one per node)
PMS5003,3,29.54,88.62,Amazon,UART(5V),Particulate matter sensor (PM1.0 / PM2.5 / PM10) (one per node)
BME280,3,15.97,47.91,Amazon,I2C 0x76,Temperature / Humidity / Pressure sensor (one per node)
SCD41,3,19.99,59.97,Amazon (Hailege),I2C 0x62,True NDIR CO2 sensor (one per node)
SGP30,3,18.14,54.42,Amazon,I2C 0x58,VOC sensor (one per node)
0.96 OLED display,3,6.15,18.45,Amazon (RUIZHI 3-pack),I2C 0x3C,Local readings display (one per node)
USB-C power supply 5V/2A,3,8.45,25.35,Amazon, - ,Power supply (one per node)
Breadboard + Dupont wires kit,3,13.49,40.47,Amazon, - ,Connections (one per node)
IP65 waterproof enclosure,3,12.31,36.93,Amazon (CPROSP), - ,150x110x70mm with cable glands (one per node)
Neutral silicone sealant,1,5.66,5.66,Amazon (SIKA), - ,Seals the enclosure and the OLED window
PTFE vent membrane,3,2.50,7.50,Amazon, - ,Air inlet/outlet for PMS5003 - blocks water
3D printed parts,3,3.00,9.00,Self-printed PLA/PETG, - ,Mounting plate + OLED bezel + PMS duct (see Hardware/CAD)
TOTAL,,,414.27,,,
